,districtid,overall,cases
63,BR_Nawada,1,10351
64,BR_Patna,1,146897
65,BR_Purnia,1,24420
66,BR_Rohtas,1,13971
67,BR_Saharsa,1,17615
68,BR_Samastipur,1,20004
69,BR_Saran,1,23272
70,BR_Sheikhpura,1,7692
71,BR_Sheohar,1,4399
72,BR_Sitamarhi,1,9179
73,BR_Siwan,1,15195
74,BR_Supaul,1,17211
75,BR_Vaishali,1,19821
76,BR_West Champaran,1,20887
77,CH_Chandigarh,1,65108
78,CT_Balod,1,27264
79,CT_Baloda Bazar,1,43036
80,CT_Balrampur,1,7490
81,CT_Bametara,1,19946
82,CT_Bastar,1,21012
83,CT_Bijapur,1,8293
84,CT_Bilaspur,1,13427
85,CT_Dakshin Bastar Dantewada,1,10775
86,CT_Dhamtari,1,27212
87,CT_Durg,1,96703
88,CT_Gariaband,1,19687
89,CT_Janjgir Champa,1,57518
90,CT_Jashpur,1,27020
91,CT_Kabeerdham,1,22770
92,CT_Kondagaon,1,13090
93,CT_Korba,1,54686
94,CT_Koriya,1,26946
95,CT_Mahasamund,1,31342
96,CT_Mungeli,1,23901
97,CT_Narayanpur,1,4015
98,CT_Raigarh,1,62511
99,CT_Raipur,1,157873
100,CT_Rajnandgaon,1,56025
101,CT_Sukma,1,8015
102,CT_Surajpur,1,29020
103,CT_Surguja,1,33662
104,CT_Uttar Bastar Kanker,1,23569
105,DN_Dadra and Nagar Haveli,1,5912
106,DN_Daman,1,3536
107,DN_Diu,1,1218
108,GJ_Ahmedabad,1,238112
109,GJ_Amreli,1,10807
110,GJ_Anand,1,9627
111,GJ_Aravalli,1,5186
112,GJ_Banaskantha,1,13631
113,GJ_Bharuch,1,11426
114,GJ_Bhavnagar,1,21424
115,GJ_Botad,1,2218
116,GJ_Chhota Udaipur,1,3395
117,GJ_Dahod,1,9955
118,GJ_Dang,1,864
119,GJ_Devbhumi Dwarka,1,4173
120,GJ_Gandhinagar,1,20745
121,GJ_Gir Somnath,1,8558
122,GJ_Jamnagar,1,34957
123,GJ_Junagadh,1,20478
124,GJ_Kheda,1,10422
125,GJ_Kutch,1,12596
126,GJ_Mahisagar,1,8193
127,GJ_Mehsana,1,24415
128,GJ_Morbi,1,6502
129,GJ_Narmada,1,5953
130,GJ_Navsari,1,7157
131,GJ_Panchmahal,1,11770
132,GJ_Patan,1,11624
133,GJ_Porbandar,1,3481
134,GJ_Rajkot,1,57933
135,GJ_Sabarkantha,1,9315
136,GJ_Surat,1,143552
137,GJ_Surendranagar,1,8121
138,GJ_Tapi,1,4439
139,GJ_Vadodara,1,77999
140,GJ_Valsad,1,6245
141,HP_Chamba,1,13475
142,HP_Hamirpur,1,5232
143,HP_Kangra,1,47682
144,HP_Kinnaur,1,3404
145,HP_Kullu,1,9497
146,HP_Lahaul and Spiti,1,2897
147,HP_Mandi,1,29867
148,HP_Shimla,1,26645
149,HP_Sirmaur,1,15434
150,HP_Solan,1,22579
151,HP_Una,1,13563
152,HR_Ambala,1,30113
153,HR_Bhiwani,1,22404
154,HR_Charkhi Dadri,1,5070
155,HR_Faridabad,1,99827
156,HR_Fatehabad,1,17870
157,HR_Gurugram,1,181081
158,HR_Hisar,1,53980
159,HR_Jhajjar,1,18842
160,HR_Jind,1,21204
161,HR_Kaithal,1,11231
162,HR_Karnal,1,40018
163,HR_Kurukshetra,1,22125
164,HR_Mahendragarh,1,21689
165,HR_Nuh,1,5011
166,HR_Palwal,1,11013
167,HR_Panchkula,1,30687
168,HR_Panipat,1,31139
169,HR_Rewari,1,20309
170,HR_Rohtak,1,25892
171,HR_Sirsa,1,29273
172,HR_Sonipat,1,47130
173,HR_Yamunanagar,1,24598
174,JH_Bokaro,1,19422
175,JH_Chatra,1,6030
176,JH_Deoghar,1,10819
177,JH_Dhanbad,1,16543
178,JH_Dumka,1,4634
179,JH_East Singhbhum,1,51823
180,JH_Garhwa,1,6886
181,JH_Giridih,1,8963
182,JH_Godda,1,5839
183,JH_Gumla,1,9895
184,JH_Hazaribagh,1,19585
185,JH_Jamtara,1,5577
186,JH_Khunti,1,7803
187,JH_Koderma,1,12872
188,JH_Latehar,1,7868
189,JH_Lohardaga,1,6705
190,JH_Pakur,1,2551
191,JH_Palamu,1,12294
192,JH_Ramgarh,1,13909
193,JH_Ranchi,1,85636
194,JH_Sahibganj,1,4828
195,JH_Saraikela-Kharsawan,1,7207
196,JH_Simdega,1,7193
197,JH_West Singhbhum,1,13012
198,JK_Anantnag,1,16452
199,JK_Bandipora,1,9644
200,JK_Baramulla,1,23945
201,JK_Budgam,1,23211
202,JK_Doda,1,7576
203,JK_Ganderbal,1,10129
204,JK_Jammu,1,53027
205,JK_Kathua,1,9286
206,JK_Kishtwar,1,4781
207,JK_Kulgam,1,11420
208,JK_Kupwara,1,14247
209,JK_Pulwama,1,15342
210,JK_Punch,1,6318
211,JK_Rajouri,1,11097
212,JK_Ramban,1,5995
213,JK_Reasi,1,6442
214,JK_Samba,1,7136
215,JK_Shopiyan,1,5599
216,JK_Srinagar,1,72501
217,JK_Udhampur,1,11381
218,KA_Bagalkote,1,35158
219,KA_Ballari,1,97574
220,KA_Belagavi,1,79236
221,KA_Bengaluru Rural,1,61489
222,KA_Bengaluru Urban,1,1238196
223,KA_Chamarajanagara,1,32770
224,KA_Chikkaballapura,1,43853
225,KA_Chikkamagaluru,1,49874
226,KA_Chitradurga,1,36383
227,KA_Dakshina Kannada,1,110217
228,KA_Davanagere,1,50779
229,KA_Dharwad,1,60745
230,KA_Gadag,1,26038
231,KA_Hassan,1,109716
232,KA_Haveri,1,21917
