,Stateid,weekid,dose1,dose2
341,CH,46,1416.0,0.0
342,CH,47,1652.0,0.0
343,CH,48,2851.0,117.0
344,CH,49,3670.0,629.0
345,CH,50,6548.0,894.0
346,CH,51,10599.0,1513.0
347,CH,52,10773.0,2549.0
348,CH,53,9532.0,3134.0
349,CH,54,7357.0,2411.0
350,CH,55,19340.0,2062.0
351,CH,56,22216.0,4955.0
352,CH,57,20990.0,7256.0
353,CH,58,20260.0,11207.0
354,CH,59,25605.0,12890.0
355,CH,60,23846.0,13379.0
356,CH,61,23717.0,10676.0
357,CH,62,26558.0,950.0
358,CH,63,27027.0,232.0
359,CH,64,38028.0,244.0
360,CH,65,22874.0,633.0
361,CH,66,47250.0,1427.0
362,CH,67,44405.0,4400.0
363,CH,68,39330.0,13394.0
364,CH,69,33578.0,20091.0
365,CH,70,48697.0,22202.0
366,CH,71,38004.0,30968.0
367,CH,72,45069.0,26949.0
368,CH,73,64627.0,23069.0
369,CH,74,46970.0,26120.0
370,CT,1,0.0,0.0
371,CT,2,0.0,0.0
372,CT,3,0.0,0.0
373,CT,4,0.0,0.0
374,CT,5,0.0,0.0
375,CT,6,0.0,0.0
376,CT,7,0.0,0.0
377,CT,8,0.0,0.0
378,CT,9,0.0,0.0
379,CT,10,0.0,0.0
380,CT,11,0.0,0.0
381,CT,12,0.0,0.0
382,CT,13,0.0,0.0
383,CT,14,0.0,0.0
384,CT,15,0.0,0.0
385,CT,16,0.0,0.0
386,CT,17,0.0,0.0
387,CT,18,0.0,0.0
388,CT,19,0.0,0.0
389,CT,20,0.0,0.0
390,CT,21,0.0,0.0
391,CT,22,0.0,0.0
392,CT,23,0.0,0.0
393,CT,24,0.0,0.0
394,CT,25,0.0,0.0
395,CT,26,0.0,0.0
396,CT,27,0.0,0.0
397,CT,28,0.0,0.0
398,CT,29,0.0,0.0
399,CT,30,0.0,0.0
400,CT,31,0.0,0.0
401,CT,32,0.0,0.0
402,CT,33,0.0,0.0
403,CT,34,0.0,0.0
404,CT,35,0.0,0.0
405,CT,36,0.0,0.0
406,CT,37,0.0,0.0
407,CT,38,0.0,0.0
408,CT,39,0.0,0.0
409,CT,40,0.0,0.0
410,CT,41,0.0,0.0
411,CT,42,0.0,0.0
412,CT,43,0.0,0.0
413,CT,44,1001.0,0.0
414,CT,45,10862.0,0.0
415,CT,46,44729.0,0.0
416,CT,47,95417.0,0.0
417,CT,48,94083.0,841.0
418,CT,49,92098.0,19581.0
419,CT,50,35240.0,30549.0
420,CT,51,133808.0,68503.0
421,CT,52,186249.0,70839.0
422,CT,53,376762.0,76392.0
423,CT,54,346289.0,37823.0
424,CT,55,868490.0,30943.0
425,CT,56,1394756.0,67377.0
426,CT,57,644864.0,86564.0
427,CT,58,332694.0,108307.0
428,CT,59,153667.0,140814.0
429,CT,60,81557.0,138946.0
430,CT,61,99283.0,193632.0
431,CT,62,33664.0,11220.0
432,CT,63,33832.0,11242.0
433,CT,64,23811.0,28498.0
434,CT,65,16590.0,26277.0
435,CT,66,20757.0,28275.0
436,CT,67,1015573.0,203500.0
437,CT,68,942359.0,262681.0
438,CT,69,324093.0,182849.0
439,CT,70,392510.0,146820.0
440,CT,71,370054.0,165567.0
441,CT,72,367534.0,164757.0
442,CT,73,483921.0,239660.0
443,CT,74,256296.0,210601.0
444,DL,1,0.0,0.0
445,DL,2,0.0,0.0
446,DL,3,0.0,0.0
447,DL,4,0.0,0.0
448,DL,5,0.0,0.0
449,DL,6,0.0,0.0
450,DL,7,0.0,0.0
451,DL,8,0.0,0.0
452,DL,9,0.0,0.0
453,DL,10,0.0,0.0
454,DL,11,0.0,0.0
455,DL,12,0.0,0.0
456,DL,13,0.0,0.0
457,DL,14,0.0,0.0
458,DL,15,0.0,0.0
459,DL,16,0.0,0.0
460,DL,17,0.0,0.0
461,DL,18,0.0,0.0
462,DL,19,0.0,0.0
463,DL,20,0.0,0.0
464,DL,21,0.0,0.0
465,DL,22,0.0,0.0
466,DL,23,0.0,0.0
467,DL,24,0.0,0.0
468,DL,25,0.0,0.0
469,DL,26,0.0,0.0
470,DL,27,0.0,0.0
471,DL,28,0.0,0.0
472,DL,29,0.0,0.0
473,DL,30,0.0,0.0
474,DL,31,0.0,0.0
475,DL,32,0.0,0.0
476,DL,33,0.0,0.0
477,DL,34,0.0,0.0
478,DL,35,0.0,0.0
479,DL,36,0.0,0.0
480,DL,37,0.0,0.0
481,DL,38,0.0,0.0
482,DL,39,0.0,0.0
483,DL,40,0.0,0.0
484,DL,41,0.0,0.0
485,DL,42,0.0,0.0
486,DL,43,0.0,0.0
487,DL,44,892.0,0.0
488,DL,45,11420.0,0.0
489,DL,46,32446.0,0.0
490,DL,47,52734.0,0.0
491,DL,48,80682.0,1967.0
492,DL,49,112963.0,16306.0
493,DL,50,76562.0,20459.0
494,DL,51,59191.0,29532.0
495,DL,52,71391.0,52494.0
